"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure","Nbclaims"
"122",1,66,9,1,2,1,3,2,3.16,0
"123",2,41,5,2,2,2,3,2,4.13,0
"124",1,20,0,2,2,1,3,1,3.45,0
"125",1,18,3,3,2,1,3,2,3.43,0
"126",1,52,0,4,1,4,3,2,1.03,0
"127",2,45,0,4,2,1,1,1,3.21,0
"128",1,67,7,1,2,2,3,2,2.47,0
"129",1,21,0,1,2,1,1,2,2.22,0
"130",2,31,1,1,2,3,2,2,1.52,0
"131",2,36,4,4,1,2,2,2,2.48,0
"132",1,44,3,2,2,2,3,2,1.31,0
"133",2,60,8,2,1,1,1,1,3.57,0
"134",2,61,5,4,2,2,3,2,1.64,0
"135",1,49,5,3,1,3,3,2,4.14,0
"136",1,25,6,4,2,3,3,2,2.45,0
"137",1,31,5,3,1,2,1,1,2.05,0
"138",1,42,7,3,1,1,3,2,0.08,0
"139",1,18,5,2,2,3,1,2,0.45,0
"140",2,39,7,2,2,2,3,2,0.24,0
"141",1,55,6,4,1,2,3,3,0.34,0
"142",1,27,3,1,2,2,3,3,5.81,0
"143",1,26,6,3,1,3,2,3,3.72,0
"144",1,34,4,4,2,3,3,2,3.01,0
"145",1,29,8,1,1,2,3,2,3.31,0
"146",1,45,1,1,2,2,3,2,2.03,0
"147",1,25,5,3,2,4,3,2,1.34,0
"148",2,24,10,2,2,2,1,2,2.68,0
"149",1,24,5,3,1,1,1,3,2.82,0
"150",1,29,5,1,2,1,3,2,2.55,0
"151",1,65,4,3,2,1,1,1,4.55,0
"152",2,64,3,2,2,3,3,2,2.57,0
"153",1,29,7,1,1,4,1,1,2.88,0
"154",1,39,5,4,2,2,2,2,3.04,0
"155",1,57,7,3,2,2,3,2,3.06,0
"156",1,43,4,1,1,3,2,3,5.38,0
"157",1,44,8,1,2,1,3,2,2.78,0
"158",1,51,6,1,2,1,3,2,1.83,0
"159",1,29,3,2,2,2,2,2,2.64,0
"160",1,31,4,2,2,1,2,1,3.14,0
"161",1,42,8,3,2,2,3,1,1.86,0
"162",1,53,2,1,2,2,1,1,1.78,0
"163",2,64,2,4,2,3,3,2,6.08,0
"164",1,41,7,2,2,1,1,2,1.48,0
"165",1,54,7,4,2,3,2,2,5.39,0
"166",1,22,5,2,1,3,3,1,3.02,0
"167",1,42,5,1,1,2,3,2,4.15,0
"168",1,31,2,3,2,1,3,1,3.59,1
"169",2,24,2,3,1,2,3,1,5.02,0
"170",2,27,3,2,2,2,2,2,4.9,0
"171",1,38,5,1,2,3,3,1,1.69,0
"172",1,42,6,3,2,4,3,2,4.01,0
"173",1,58,2,1,2,3,3,1,2.56,0
"174",2,56,7,1,1,2,3,1,4.45,1
"175",1,37,3,1,2,2,3,2,4.98,0
"176",2,31,2,2,2,2,2,2,5.96,0
"177",2,51,9,1,1,3,1,3,3.98,1
"178",1,37,3,3,1,2,3,3,1.85,0
"179",1,38,5,2,2,3,3,2,2.64,0
"180",2,25,4,2,2,4,3,1,2.62,0
"181",2,41,3,3,2,1,1,2,4.05,0
"182",2,37,8,1,2,3,3,2,1.27,0
"183",2,46,1,1,1,4,3,1,5.57,1
"184",2,31,6,4,1,3,2,3,2.21,0
"185",1,49,5,4,2,1,1,2,2.04,0
"186",2,28,6,1,1,2,2,1,6.04,0
"187",2,56,4,1,1,3,3,2,2.45,0
"188",1,18,6,2,2,3,3,2,1.37,0
"189",1,44,5,4,1,2,3,3,3.23,1
"190",2,18,4,2,2,3,3,2,3.13,0
"191",1,43,6,2,2,1,1,2,1.69,0
"192",2,51,8,2,2,1,3,3,3.9,0
"193",1,66,4,1,2,3,1,2,3.36,0
"194",2,57,5,3,1,1,1,2,3.92,0
"195",2,58,7,1,1,2,3,2,1.42,0
"196",1,56,6,2,2,4,3,2,5.64,0
"197",1,55,6,1,2,1,2,3,2.65,0
"198",1,44,7,1,2,2,3,1,3.38,0
"199",1,59,6,4,2,2,3,1,2.19,0
"200",2,48,7,4,1,3,3,2,2.04,0
"201",1,46,7,1,2,2,2,2,2.88,0
"202",2,32,2,2,1,4,2,2,3.21,0
"203",1,51,5,2,1,2,2,3,4.81,1
"204",2,55,3,1,2,3,3,3,2.86,0
"205",1,82,1,1,1,2,3,2,2.21,0
"206",1,30,3,2,1,1,3,2,2.47,0
"207",1,34,5,1,2,3,2,3,2.16,0
"208",2,25,2,1,1,3,2,1,3.9,0
"209",1,58,10,3,2,2,3,2,2.88,0
"210",1,52,9,2,2,2,1,1,1.11,0
"211",1,68,2,2,2,1,1,3,4.05,0
"212",2,56,5,3,2,2,3,3,2.26,0
"213",1,61,3,2,2,2,3,2,2.84,0
"214",2,37,4,4,2,3,3,2,3.54,0
"215",1,46,3,2,1,3,3,3,3.12,0
"216",1,36,6,4,2,2,1,1,3.73,0
"217",1,36,4,2,1,3,2,2,2.21,0
"218",1,58,7,4,2,3,2,1,3.33,0
"219",1,48,1,4,2,1,3,1,4.15,0
"220",2,31,5,1,2,4,3,2,3.04,0
"221",2,32,6,1,1,3,3,1,0.08,0
"222",1,43,0,2,1,1,1,3,1.49,0
"223",1,38,9,4,2,4,1,2,3.3,0
"224",1,63,5,4,2,2,3,1,2.5,0
"225",1,40,9,3,2,1,3,3,6.25,0
"226",1,32,0,1,2,3,3,1,2.09,0
"227",1,29,6,3,2,1,2,2,2.76,0
"228",1,42,0,4,2,2,3,2,1.09,0
"229",1,46,5,3,2,4,3,2,3.28,0
"230",1,50,5,2,2,2,3,2,2.15,0
"231",1,28,0,1,2,1,3,2,5.12,0
"232",1,56,5,1,2,3,1,1,4.18,0
"233",1,44,8,4,2,1,3,1,4.16,0
"234",1,65,8,1,2,3,3,2,3.92,0
"235",1,54,4,3,2,3,3,3,3.38,0
"236",2,79,2,3,2,1,1,2,2.33,0
"237",1,50,7,3,2,2,3,2,3.51,0
"238",1,33,4,3,1,1,3,1,3.24,0
"239",1,40,2,3,2,1,3,2,2.48,0
"240",1,31,2,4,2,2,1,3,2.79,0
"241",1,46,4,1,2,1,2,3,1,0
"242",1,36,4,4,2,2,3,1,4.66,0
"243",2,41,3,1,2,2,2,2,1.67,1
"244",2,47,5,3,2,3,3,3,2.41,0
"245",1,42,1,4,2,3,1,2,4.19,0
"246",2,36,3,2,2,2,3,2,1.52,0
"247",1,20,4,2,2,2,2,2,3.22,0
"248",1,29,5,4,2,2,1,2,4.81,0
"249",1,40,4,1,2,1,3,3,3.25,0
"250",1,41,7,1,1,4,1,1,5.04,0
"251",1,63,3,4,2,1,3,3,2.99,0
"252",1,51,7,2,1,2,1,3,4.38,0
"253",1,29,6,3,2,3,2,1,3.11,0
"254",1,51,2,3,2,2,3,1,2.69,0
"255",1,40,4,2,2,3,3,2,3.25,0
"256",2,50,5,3,2,1,3,3,1.86,0
"257",1,48,8,2,2,3,3,2,1.98,0
"258",2,54,5,4,1,3,3,3,2.59,0
"259",1,37,2,2,1,1,3,2,3.35,0
"260",1,75,8,1,2,3,2,1,5.86,1
"261",2,33,8,1,2,4,1,3,3.75,1
"262",2,25,4,3,2,2,3,3,1.58,0
"263",1,41,4,2,1,2,3,3,2.21,0
"264",2,75,10,4,1,2,2,2,2.18,0
"265",2,55,6,1,1,4,3,2,3.22,0
"266",2,48,7,1,2,4,2,2,3.38,0
"267",1,75,6,2,2,2,3,1,3.24,0
"268",1,66,2,4,1,2,3,1,2.71,0
"269",1,50,9,2,1,1,3,2,3.11,0
"270",1,58,6,2,2,2,3,2,2.93,0
"271",2,23,5,1,2,2,2,2,2.41,0
"272",1,18,4,2,2,3,3,2,2.51,0
"273",1,63,4,3,2,2,1,1,4.25,0
"274",1,18,9,3,1,2,3,3,5.71,0
"275",1,52,5,2,2,2,3,2,5.37,0
"276",1,65,8,3,1,2,1,1,2.48,0
"277",1,43,4,2,2,2,3,2,2.94,0
"278",1,27,3,1,1,2,1,1,2.93,0
"279",2,53,11,2,2,2,3,2,1.24,0
"280",1,49,7,2,2,3,3,3,3.27,0
"281",2,59,4,3,2,3,3,1,1.81,0
"282",2,57,3,1,2,2,2,2,3.55,0
"283",1,68,1,4,1,1,2,2,0.33,0
"284",1,54,9,3,2,3,3,1,2.5,0
"285",2,50,1,1,2,4,2,2,3.61,0
"286",2,52,1,2,2,1,3,3,1.8,0
"287",1,68,2,3,2,3,3,2,5.54,0
"288",2,57,5,1,2,2,3,1,2.2,0
"289",1,49,9,4,1,4,3,2,0.08,0
"290",1,43,6,1,2,4,3,1,3.04,0
"291",2,35,8,2,2,1,2,3,2.48,0
"292",1,38,9,2,2,1,2,2,0.88,0
"293",2,56,5,3,2,2,3,2,2.01,0
"294",1,37,11,2,1,3,3,1,3.43,0
"295",1,66,3,4,2,2,1,3,2.38,0
"296",1,60,3,3,2,2,3,2,5.74,0
"297",1,58,5,1,2,3,2,2,3.59,0
"298",1,49,10,4,2,1,3,2,2.94,0
"299",1,60,7,4,1,2,3,2,0.52,0
"300",2,65,3,2,2,1,2,2,3.06,0
"301",1,33,3,1,1,2,3,1,2.39,0
"302",2,56,3,1,2,3,3,1,5.06,0
"303",1,63,4,4,2,3,1,2,4.75,0
"304",1,53,10,4,2,4,3,2,1.92,0
"305",2,44,7,4,2,3,3,3,6.02,0
"306",2,19,7,3,2,1,3,3,5.25,0
"307",1,44,8,3,2,3,3,2,0.18,0
"308",1,66,8,1,2,3,3,3,3.69,0
"309",1,23,8,2,2,2,3,3,2.6,0
"310",1,61,2,4,1,2,2,1,5.02,0
"311",1,54,6,2,2,2,3,2,4.76,0
"312",2,61,4,1,2,3,1,1,3.38,0
"313",1,55,5,1,1,1,3,2,4.23,0
"314",2,57,4,1,2,2,1,3,3.06,0
"315",1,41,8,3,2,4,3,1,3.78,0
"316",1,50,4,3,2,3,2,1,3.56,0
"317",2,21,7,1,2,1,3,3,4.06,0
"318",1,56,8,2,1,3,3,2,2.78,0
"319",2,72,1,4,2,2,1,2,1.99,0
"320",2,40,7,3,1,4,1,2,5.21,0
"321",1,26,8,4,2,2,1,2,1.58,0
"322",1,69,3,1,1,1,2,3,2.22,0
"323",2,46,0,1,2,2,3,2,1.85,0
"324",2,59,4,2,2,2,3,2,1.45,0
"325",2,51,7,4,2,2,1,1,3.65,0
"326",2,26,5,3,2,2,3,1,4,0
"327",1,43,3,2,2,1,3,2,4.28,0
"328",2,52,5,3,2,4,2,2,2.71,0
"329",1,23,7,4,2,3,1,2,2.11,0
"330",2,47,6,1,2,1,2,2,1.43,0
"331",2,64,5,2,2,2,1,1,1.95,0
"332",1,51,2,1,2,3,3,2,2.45,0
"333",2,33,3,3,2,4,1,2,2.53,0
"334",1,47,4,2,2,1,3,1,1.17,0
"335",2,44,7,2,2,3,2,2,2.57,0
"336",1,50,3,4,2,3,3,2,4.66,0
"337",2,36,4,1,2,2,1,2,1.99,0
"338",1,40,8,2,2,3,3,2,0.65,0
"339",1,47,6,3,2,1,2,3,5.87,0
"340",1,60,9,2,2,3,3,2,2.49,0
"341",1,19,9,1,2,1,1,1,0.91,1
"342",1,59,7,3,2,4,1,1,2.17,0
"343",1,55,1,3,2,1,2,2,2.31,0
"344",1,54,4,1,1,3,3,3,3.17,1
"345",1,75,3,3,2,1,1,2,5.02,0
"346",2,46,5,1,1,2,3,1,0.61,0
"347",1,48,0,1,2,2,3,3,2.69,0
"348",1,35,4,2,2,2,1,2,2.44,0
"349",1,43,5,4,2,2,2,1,2.68,0
"350",2,61,4,2,2,3,3,3,3.92,0
"351",2,48,1,1,1,1,3,3,5.38,0
"352",1,50,4,3,2,1,1,2,1.51,0
"353",2,21,5,2,1,2,3,2,3.35,0
"354",1,30,5,1,2,2,1,2,2.04,0
"355",2,56,4,3,1,2,3,2,1.97,0
"356",1,55,0,1,2,1,3,1,2.56,0
"357",1,66,8,2,2,2,1,3,2.72,0
"358",2,56,2,1,1,2,1,1,2.72,0
"359",1,33,0,1,2,2,3,1,2.28,0
"360",1,36,7,1,2,2,3,3,4.12,0
"361",1,18,10,1,2,2,3,1,4.88,0
"362",1,44,3,2,2,2,2,1,4.48,0
"363",1,46,0,1,2,1,2,3,2.29,0
"364",1,38,4,1,2,3,3,1,1.85,0
"365",1,43,1,2,1,2,2,2,3.9,0
"366",2,50,0,2,2,2,3,2,3.94,0
"367",1,50,7,2,1,3,2,1,4.73,0
"368",1,56,1,1,1,3,3,3,3.7,0
"369",1,36,5,2,1,4,3,2,2.41,0
"370",1,28,0,3,2,3,2,2,5.23,0
"371",1,34,2,2,2,2,3,2,2.75,0
"372",1,46,3,4,1,3,2,2,2.17,0
"373",2,23,6,4,2,1,3,3,1.84,0
"374",2,31,3,3,1,2,3,3,3.02,0
"375",2,36,8,2,2,1,3,2,0.5,0
"376",1,54,3,3,1,2,3,1,0.08,0
"377",2,57,4,2,2,2,2,3,3.14,0
"378",1,46,3,3,2,4,3,1,2.17,0
"379",1,59,9,1,2,2,3,3,1.63,0
"380",1,38,3,3,2,3,3,2,1.61,0
"381",2,38,2,1,2,2,3,1,3.86,0
"382",1,44,12,2,1,3,1,1,1.79,0
"383",1,34,9,1,2,2,1,2,3.63,0
"384",2,46,2,1,1,1,3,1,3.73,0
"385",2,31,10,3,2,1,3,2,1.08,0
"386",2,67,6,1,1,2,1,2,2.18,0
"387",2,48,1,3,2,3,1,2,5.87,0
"388",1,41,0,3,2,2,1,1,1.64,0
"389",1,18,2,1,2,3,3,1,1.12,0
"390",2,31,8,1,2,4,2,3,3.29,0
"391",1,40,3,3,2,2,2,2,1.82,0
"392",1,80,1,4,2,2,3,1,3.93,0
"393",1,32,5,1,1,1,3,2,2.88,0
"394",2,44,8,2,2,2,1,3,4.11,0
"395",1,30,8,2,2,2,3,2,2.94,1
"396",1,54,2,2,2,2,3,1,4.06,0
"397",1,56,4,2,1,2,1,2,0.08,0
"398",2,18,0,4,2,2,3,1,3.22,0
"399",1,64,3,2,2,3,3,1,3.6,0
"400",1,69,9,2,2,1,2,1,5.09,0
"401",2,55,4,3,2,1,1,3,1.24,0
"402",2,45,8,2,1,4,3,2,0.46,0
"403",1,30,4,1,1,2,3,3,5.02,0
"404",1,48,7,2,2,2,1,2,4.74,0
"405",2,44,3,3,1,4,2,1,3.26,0
"406",1,37,6,1,2,2,3,2,3.87,0
"407",2,25,4,2,2,1,3,3,3.84,0
"408",1,37,6,2,2,1,2,2,8.74,0
"409",1,36,5,4,2,3,2,1,2.28,0
"410",2,36,6,3,2,2,2,1,3.98,0
"411",1,53,2,3,1,2,3,1,3.97,0
"412",1,75,6,3,2,3,2,1,3.32,0
"413",1,46,9,3,1,3,2,3,3.86,0
"414",1,38,4,3,2,2,3,3,2.38,0
"415",2,73,6,1,2,3,3,1,0.79,0
"416",1,52,5,4,2,1,3,2,5.03,0
"417",1,41,4,2,2,2,3,2,3.17,0
"418",1,62,7,4,1,1,3,3,0.08,0
"419",2,38,6,2,1,3,2,2,4.73,0
"420",1,38,3,3,1,2,3,1,3.01,0
"421",2,39,5,4,1,2,2,2,1.41,0
"422",1,25,7,3,2,2,3,2,1.06,0
"423",1,43,3,4,2,3,3,3,4.12,0
"424",2,43,5,2,1,1,2,3,2.79,0
"425",1,29,5,3,2,1,3,3,1.43,0
"426",1,59,8,2,2,3,1,2,1.59,0
"427",1,46,1,3,1,2,2,2,1.34,0
"428",1,70,4,4,2,3,1,2,3.92,0
"429",2,61,10,3,1,2,3,2,5.9,0
"430",1,38,6,4,2,2,3,2,1.48,0
"431",2,42,5,2,2,2,1,1,3.46,0
"432",1,62,9,1,1,2,3,3,1.34,0
"433",1,58,4,2,2,2,2,1,3.66,0
"434",1,46,10,1,2,4,3,1,1.38,0
"435",1,64,6,2,2,3,3,2,4.76,0
"436",1,64,3,2,2,1,3,1,2.66,0
"437",1,40,5,2,2,2,2,2,1.9,1
"438",1,24,7,2,2,1,3,2,2.33,0
"439",1,27,4,4,2,1,1,2,4.78,0
"440",1,46,5,2,2,2,1,1,0.63,0
"441",2,38,5,2,2,3,1,1,1.85,0
"442",2,25,2,3,1,1,3,2,3.69,0
"443",2,31,5,3,2,1,3,1,5.32,0
"444",2,18,3,4,2,3,3,1,3.41,0
"445",2,82,8,4,2,1,1,2,3.12,0
"446",2,40,6,2,2,3,3,3,2.55,0
"447",2,30,4,1,2,2,2,2,4.2,0
"448",1,35,7,1,2,2,3,2,1.76,0
"449",2,56,7,3,1,2,3,2,2.03,0
"450",1,46,1,2,2,2,3,1,4.18,0
"451",1,61,6,1,2,1,3,2,4.19,0
"452",1,36,4,2,2,3,3,1,5.64,0
"453",1,35,6,2,2,2,3,2,0.81,0
"454",1,40,9,3,1,2,3,2,1.55,0
"455",1,65,5,2,2,4,3,1,2.84,0
"456",1,45,2,1,1,3,3,2,2.41,0
"457",1,50,5,3,1,1,3,2,4.64,0
"458",1,48,3,2,2,3,3,2,4.57,0
"459",2,46,3,2,2,4,1,1,4.85,0
"460",1,32,3,2,2,2,3,2,1.94,0
"461",1,18,3,3,2,2,2,2,2.53,0
"462",1,34,6,2,1,1,3,2,2.44,0
"463",2,70,4,3,1,3,1,1,4.45,0
"464",1,22,2,2,1,2,3,2,5.42,0
"465",1,51,2,1,1,2,3,1,5.37,0
"466",1,35,5,1,1,3,3,3,4.03,0
"467",2,56,9,4,2,1,3,2,2.77,0
"468",1,46,6,4,1,4,3,2,3.74,0
"469",1,39,5,1,2,4,1,2,0.08,0
"470",1,32,7,1,2,1,3,1,0.98,0
"471",2,68,2,1,2,3,3,1,4.81,1
"472",1,30,0,1,1,1,3,1,2.98,0
"473",2,41,4,1,1,2,1,1,3.06,0
"474",1,65,9,2,1,4,3,2,0.66,0
"475",1,78,5,4,2,3,3,2,1.45,0
"476",2,27,9,2,1,2,3,3,3.38,0
"477",2,21,1,4,2,1,3,1,2.15,1
"478",1,49,4,3,2,1,2,2,1.45,1
"479",1,50,2,2,2,1,2,2,3.36,1
"480",2,37,1,1,2,2,3,1,0.8,0
"481",1,36,9,2,2,2,3,3,4.28,0
"482",2,41,0,2,1,1,1,3,4.09,0
"483",2,53,2,1,2,3,3,3,3.77,0
"484",2,36,6,1,2,2,3,2,4.67,0
"485",1,55,8,3,2,3,3,2,4.33,0
"486",1,47,3,2,1,1,3,2,2.33,0
"487",2,19,6,1,2,2,3,3,3.97,1
"488",1,47,4,2,1,2,1,2,3.8,1
"489",2,57,8,3,2,1,2,2,3.33,0
"490",2,49,5,2,2,3,3,3,3.48,0
"491",2,38,5,1,2,1,3,2,3.17,0
"492",2,50,2,3,2,3,3,2,6.54,0
"493",1,47,4,2,1,4,3,1,2.72,0
"494",1,44,0,4,2,2,2,2,3.72,0
"495",1,63,5,1,2,1,1,2,1.99,0
"496",1,34,5,3,1,3,1,2,3.44,0
"497",2,58,7,1,2,2,3,3,2.27,0
"498",1,33,7,1,2,1,3,2,5.04,0
"499",2,41,2,3,2,2,3,2,2.69,0
"500",1,46,4,3,1,4,2,1,2.94,0
"501",1,41,4,2,2,3,3,3,0.08,0
"502",1,35,4,2,2,3,2,2,2.76,0
"503",1,54,7,2,1,1,3,1,2.55,0
"504",1,55,7,3,2,2,3,2,4.83,0
"505",1,45,0,2,2,4,2,2,2.06,0
"506",2,46,6,3,1,1,3,1,2.2,1
"507",2,39,5,4,1,1,3,2,5.32,0
"508",2,46,3,1,2,3,3,2,0.78,0
"509",2,48,7,3,1,2,3,2,2.98,0
"510",2,34,8,3,2,4,1,2,3.79,0
"511",1,45,6,3,1,2,3,1,3.53,0
"512",1,18,9,2,1,2,3,2,2.69,1
"513",1,33,7,1,1,1,3,1,3.62,0
"514",1,28,6,2,2,2,3,2,2.56,0
"515",1,38,7,2,2,1,1,2,1.25,0
"516",1,54,6,1,1,4,2,2,2.09,0
"517",2,32,1,1,2,3,3,1,1.87,0
"518",1,66,2,2,1,2,1,1,0.77,0
"519",1,40,0,3,2,1,3,3,2.77,0
"520",1,51,2,2,2,2,1,2,1.6,0
"521",2,39,6,4,1,1,1,2,3.47,1
"522",1,46,8,1,2,4,1,1,3.84,0
"523",1,18,10,3,2,3,3,2,3.12,0
"524",1,39,6,2,2,1,3,1,3,0
"525",1,37,4,3,2,3,3,2,2.8,0
"526",1,49,10,3,2,4,1,2,2.43,0
"527",1,59,4,2,1,3,3,1,2.5,0
"528",1,63,0,2,1,2,2,2,1.57,0
"529",2,31,7,3,1,3,3,2,1.31,0
"530",1,18,2,4,2,2,3,2,4.88,0
"531",1,56,7,2,2,2,3,2,4.75,0
"532",2,63,0,1,2,4,3,3,5.86,0
"533",2,40,1,4,1,2,2,1,4.6,0
"534",1,52,5,2,2,4,3,3,3.54,0
"535",1,64,10,1,2,2,3,2,5.24,0
"536",1,33,2,1,2,4,3,1,3.88,0
"537",1,45,3,3,1,4,2,1,3.68,0
"538",2,63,8,3,2,4,2,2,1.51,0
"539",2,34,4,4,2,3,3,3,6.72,0
"540",2,53,2,2,2,4,3,3,2.7,0
"541",1,41,8,1,2,2,1,2,3.13,0
"542",2,43,10,2,1,3,3,1,2.91,0
"543",1,51,8,3,1,4,1,2,0.08,0
"544",2,69,1,1,1,4,3,2,5.82,0
"545",2,55,6,1,2,3,3,2,5.26,0
"546",1,43,6,1,2,4,3,1,5.21,0
"547",2,22,1,1,2,3,3,2,0.73,0
"548",1,34,6,2,2,3,3,2,1.43,0
"549",1,50,7,3,2,1,1,1,3.05,0
"550",1,55,10,4,1,2,1,2,0.08,0
"551",2,51,4,2,1,3,3,2,1.87,0
"552",1,77,4,2,2,3,2,2,4.96,0
"553",2,41,8,1,2,2,1,2,0.99,0
"554",1,36,0,1,2,2,3,2,0.08,0
"555",1,47,9,2,2,3,1,1,4.02,0
"556",2,49,7,3,1,2,2,3,5.29,0
