"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure"
"120",1,73,2,1,2,3,3,2,0.08
"121",2,61,6,3,2,2,2,3,4.39
"122",1,27,3,2,2,3,3,1,3.52
"123",2,53,8,2,1,2,1,2,2.19
"124",2,40,2,2,1,4,3,1,2.46
"125",1,22,1,4,2,2,3,3,6.53
"126",2,46,4,2,2,2,3,3,4.43
"127",1,42,8,4,2,3,3,2,2.66
"128",2,38,9,3,2,2,3,3,4.53
"129",1,36,7,3,1,3,3,2,1.88
"130",1,52,3,4,2,1,1,2,3.22
"131",1,42,3,4,2,2,3,3,3.38
"132",2,58,8,3,2,3,2,1,1.73
"133",2,39,4,4,2,3,2,2,1.53
"134",2,36,0,3,2,1,3,1,5.38
"135",1,45,6,3,2,3,3,1,1.59
"136",1,32,8,1,2,3,3,2,0.87
"137",2,33,12,2,1,3,1,1,3.35
"138",1,49,8,2,2,3,3,2,2.45
"139",2,46,7,3,1,3,3,2,3.48
"140",1,40,5,3,2,2,1,1,1.68
"141",1,27,4,2,2,1,3,2,2.56
"142",1,32,4,4,1,1,3,1,2.72
"143",2,58,7,4,2,1,3,1,2.65
"144",1,24,9,1,2,3,3,2,0.99
"145",2,43,4,2,1,3,3,2,2.54
"146",2,45,0,2,1,1,2,2,2.35
"147",1,39,1,1,1,3,3,3,2.67
"148",2,51,5,3,2,2,1,1,0.77
"149",1,38,8,1,2,3,1,3,3.29
"150",2,30,8,3,1,3,3,1,5.55
"151",1,57,3,1,2,2,3,3,2.91
"152",2,51,3,1,2,3,3,2,1.95
"153",1,52,5,3,2,2,3,2,3.6
"154",1,34,9,2,1,2,3,1,1.26
"155",1,57,6,3,1,3,1,2,0.08
"156",1,22,10,1,2,2,3,1,2.57
"157",2,55,7,2,2,4,1,2,2.25
"158",1,42,11,2,2,2,3,1,4.68
"159",1,53,0,3,1,1,3,2,3.28
"160",1,61,2,2,1,1,2,2,2.27
"161",1,57,5,3,1,3,3,2,2.89
"162",1,46,6,3,2,2,3,2,4.68
"163",2,34,2,2,2,4,3,2,2.85
"164",1,41,4,2,2,2,2,2,0.55
"165",1,31,5,3,2,1,1,3,5.04
"166",1,49,7,3,1,4,2,1,2.75
"167",2,36,3,1,1,2,1,2,4.41
"168",1,19,1,4,2,3,3,3,6.23
"169",2,63,1,1,1,4,3,1,3.75
"170",1,29,6,3,1,3,3,2,2.51
"171",1,35,5,4,2,3,1,3,5.3
"172",1,37,4,2,1,2,2,2,1.86
"173",2,82,3,1,2,3,3,2,0.45
"174",1,22,5,2,2,3,2,2,1.16
"175",1,25,5,1,2,2,3,2,3.6
"176",2,46,6,3,2,2,3,1,0.62
"177",1,38,4,2,2,2,3,2,3.47
"178",1,37,9,1,1,2,3,2,1.4
"179",1,34,9,3,2,3,1,1,7.28
"180",1,40,0,1,2,3,2,2,3.46
"181",2,36,6,4,2,2,3,1,4.69
"182",1,18,6,1,2,4,2,1,1.08
"183",1,63,2,1,1,2,2,1,1.52
"184",1,52,8,2,1,4,3,1,1.35
"185",1,50,6,4,2,2,3,2,2.23
"186",1,60,1,2,1,3,2,2,0.76
"187",1,43,0,4,1,3,1,2,3.73
"188",1,32,3,2,2,3,3,2,3.49
"189",1,18,10,4,1,3,3,2,3.23
"190",1,31,6,1,2,4,2,1,4.66
"191",2,40,6,3,2,3,1,2,4.63
"192",1,48,6,1,1,4,3,1,4.17
"193",1,47,4,2,2,2,2,2,3.91
"194",1,52,6,3,1,2,2,2,3.57
"195",1,53,8,2,1,3,3,3,3.67
"196",2,40,7,2,1,3,3,2,4.04
"197",1,62,6,4,2,2,3,2,2.57
"198",1,47,4,1,2,3,3,1,1.96
"199",2,61,6,3,2,2,3,1,1.52
"200",1,32,9,4,2,3,3,1,1.45
"201",1,37,4,1,2,2,2,1,3.59
"202",1,18,1,3,2,2,1,1,1.93
"203",2,53,7,2,2,1,2,3,1.81
"204",2,38,2,1,2,4,3,1,4.66
"205",2,58,5,2,2,1,3,2,1.91
"206",2,37,8,2,1,4,2,1,4.68
"207",2,60,4,1,1,1,3,2,2.79
"208",1,46,3,2,2,4,3,1,1.22
"209",1,25,8,1,2,2,3,1,4.21
"210",1,47,5,2,1,2,3,2,1.62
"211",2,56,1,2,2,3,3,2,2.7
"212",1,44,1,1,2,2,1,2,0.36
"213",1,30,5,2,2,3,2,1,2.9
"214",1,39,4,1,1,3,3,1,0.96
"215",1,34,5,1,1,2,2,2,3.04
"216",2,54,11,4,2,4,1,2,5.04
"217",2,41,6,4,2,3,1,1,4.57
"218",2,31,10,4,2,3,3,2,3.86
"219",1,55,0,3,2,1,2,2,3.7
"220",2,63,2,4,2,1,1,2,2.39
"221",1,31,8,3,1,3,2,3,2.83
"222",1,39,5,3,2,2,3,2,2.08
"223",2,50,2,3,2,1,3,2,1.48
"224",1,40,10,3,2,1,3,1,3.06
"225",1,56,0,1,2,1,1,1,2.67
"226",1,20,6,1,2,1,2,1,1.68
"227",1,43,3,3,2,2,3,2,3.3
"228",2,26,8,2,2,2,3,2,3.62
"229",1,31,2,4,2,2,1,3,3.73
"230",2,37,2,3,1,3,3,1,3.29
"231",1,29,8,2,2,2,2,2,1.49
"232",1,35,7,1,2,2,3,1,3.92
"233",2,18,12,3,2,3,3,1,4.54
"234",2,41,6,3,2,3,3,2,3.48
"235",1,48,7,3,2,2,3,3,5.03
"236",1,33,6,2,1,3,3,2,1.31
"237",2,29,6,1,2,2,3,2,2.43
"238",2,53,7,2,2,2,1,2,4
"239",2,18,4,3,1,3,3,2,3.59
"240",1,46,3,2,1,3,2,2,1.27
"241",1,54,7,2,1,1,3,2,0.73
"242",1,50,3,3,2,3,3,1,2.91
"243",1,54,8,3,1,2,1,2,1.89
"244",1,26,7,2,1,2,3,1,1.75
"245",1,29,6,2,2,3,3,2,3.83
"246",1,75,5,1,2,2,3,2,2.3
"247",2,46,6,1,1,2,2,1,3.19
"248",2,46,4,2,2,4,3,1,1.63
"249",1,52,2,2,2,3,3,2,3.41
"250",1,22,3,2,2,1,1,1,0.7
"251",1,18,9,3,2,3,3,2,2.3
"252",2,18,1,2,2,3,1,3,5.34
"253",1,46,4,3,2,2,3,2,1.39
"254",1,76,6,3,1,1,1,2,3.97
"255",1,68,4,3,1,2,3,2,4.95
"256",1,42,0,1,1,3,3,1,4.29
"257",1,49,1,2,2,3,3,2,2
"258",2,45,7,2,1,3,3,1,3.6
"259",1,35,6,1,2,3,3,2,3.64
"260",2,76,7,3,2,4,3,2,3.18
"261",1,29,3,1,2,1,3,1,2.58
"262",2,24,0,2,2,3,2,3,0.48
"263",1,63,11,2,1,4,3,1,3.22
"264",2,42,8,3,2,2,1,2,1.69
"265",1,58,5,2,2,2,1,1,3.42
"266",2,45,11,1,1,3,1,3,0.94
"267",1,36,7,3,2,3,3,1,1
"268",1,50,6,1,2,2,1,2,2.19
"269",1,44,2,1,2,3,2,1,2.08
"270",1,29,5,4,2,3,1,2,4.81
"271",2,18,5,4,1,3,2,2,2.82
"272",1,37,3,4,2,3,3,3,4.07
"273",1,54,3,2,1,4,3,2,3.34
"274",1,49,0,3,2,2,2,2,4.8
"275",1,27,3,4,2,1,3,1,3.86
"276",2,52,5,4,1,3,3,2,2.98
"277",1,44,8,2,2,2,3,2,3.23
"278",1,26,3,2,2,1,3,2,5.52
"279",1,63,2,2,1,1,2,1,3.39
"280",1,18,0,1,1,3,3,2,0.83
"281",2,28,3,1,2,2,1,2,4.51
"282",1,40,3,3,2,1,3,1,4.67
"283",1,64,5,3,2,1,3,2,2.38
"284",2,50,0,1,1,2,3,2,4.05
"285",1,36,7,2,2,3,3,2,0.08
"286",1,18,7,1,2,1,3,2,3.8
"287",2,38,4,2,1,1,3,3,1.27
"288",2,37,6,1,2,2,3,2,3.92
"289",1,48,9,1,1,3,3,2,3.11
"290",2,46,7,1,2,1,1,3,4.85
"291",1,33,4,2,2,2,2,2,0.47
"292",2,42,4,2,2,3,2,3,1.63
"293",2,58,1,1,1,3,3,1,3.11
"294",2,24,3,4,2,1,3,1,4.25
"295",1,37,5,1,2,1,3,2,0.56
"296",1,35,4,4,2,2,3,3,3.14
"297",2,36,5,3,2,2,3,2,5.36
"298",1,26,5,3,2,3,3,2,0.56
"299",2,54,6,2,1,1,3,1,1.55
"300",2,41,7,2,2,2,1,1,2
"301",2,46,9,1,2,2,3,2,1.85
"302",1,60,6,4,2,3,2,2,1.11
"303",2,43,4,3,1,2,3,1,1.66
"304",1,34,3,4,1,1,3,2,3.72
"305",1,39,5,1,2,2,3,2,5.03
"306",1,48,0,1,2,3,2,2,3.06
"307",1,34,1,3,1,1,1,2,4.7
"308",2,51,5,2,2,2,3,3,5.45
"309",2,48,7,2,2,2,2,2,3.86
"310",1,29,6,3,2,3,3,2,2.86
"311",2,47,6,4,1,2,3,2,1.85
"312",1,38,2,1,1,2,3,3,1.93
"313",2,38,9,3,2,2,3,2,4.29
"314",2,33,0,3,1,2,2,2,5.1
"315",1,26,5,4,2,3,3,1,5.21
"316",2,41,8,2,1,4,1,3,0.08
"317",1,38,3,2,2,2,2,2,2.77
"318",1,45,4,4,1,2,3,3,1.14
"319",2,18,5,2,2,1,1,2,2.26
"320",1,59,2,2,2,3,3,3,2.3
"321",1,38,3,1,2,2,3,1,4.32
"322",1,34,7,2,2,3,3,2,4.26
"323",2,63,4,4,2,2,3,2,1.26
"324",1,35,7,4,1,2,2,1,3.17
"325",1,27,3,2,2,2,3,2,3.47
"326",2,18,1,2,2,1,1,2,1.74
"327",2,47,6,1,1,1,3,1,0.32
"328",1,48,7,3,2,1,1,2,2.57
"329",1,57,0,2,2,2,2,3,1.52
"330",2,18,5,2,2,2,3,2,3.09
"331",2,37,6,3,2,2,1,1,2.64
"332",2,29,4,3,2,4,3,2,0.08
"333",2,41,4,3,2,3,2,3,4.96
"334",1,48,6,4,2,2,3,2,1.33
"335",2,51,0,2,1,3,2,1,1.86
"336",1,44,6,2,1,3,3,1,1.24
"337",1,44,6,2,1,3,1,2,1.05
"338",2,41,4,1,2,2,1,3,1.72
"339",2,62,5,2,2,3,3,3,5.11
"340",2,40,1,3,1,1,3,2,1.63
"341",1,18,5,4,2,2,3,2,3.52
"342",1,50,4,3,2,3,3,2,0.99
"343",2,27,9,3,2,3,2,1,3.34
"344",1,31,9,2,2,4,3,2,2.94
"345",1,69,2,1,2,4,1,2,2.48
"346",2,53,4,4,2,4,2,3,1.95
"347",2,18,10,1,2,4,2,1,1.64
"348",1,43,7,2,1,3,3,3,5.61
"349",1,56,7,2,2,3,3,3,6.56
"350",1,53,2,3,2,2,3,3,5.67
"351",1,18,10,3,1,1,1,2,5.11
"352",2,36,3,4,2,2,3,1,2.38
"353",1,40,7,2,2,2,1,2,3.58
"354",1,33,4,4,2,1,1,2,5.21
"355",2,49,8,2,1,2,2,1,5.48
"356",1,48,4,2,2,3,1,2,1.82
"357",1,31,0,4,2,3,3,2,1.55
"358",2,60,3,1,1,3,3,3,4.28
"359",2,34,2,1,2,2,3,3,2.67
"360",1,18,3,1,2,2,3,1,6.11
"361",1,28,5,3,2,4,3,2,0.69
"362",1,18,5,1,2,2,3,3,1.67
"363",2,41,9,2,2,4,3,3,3.3
"364",1,76,6,3,2,2,3,2,4.36
"365",1,23,4,4,1,1,3,1,4.72
"366",1,32,9,3,1,1,1,1,1.64
"367",1,40,2,1,2,3,3,3,1.87
"368",1,38,2,3,2,1,3,2,4.18
"369",1,48,4,3,2,3,3,3,0.08
"370",2,39,4,2,2,3,3,1,4.37
"371",2,52,7,2,2,2,3,3,4.66
"372",1,39,4,1,1,3,3,2,1.97
"373",1,40,10,1,1,3,2,3,4.92
"374",1,42,0,1,2,3,3,2,1.47
"375",1,38,4,3,2,3,3,1,2.13
"376",1,67,8,1,2,3,2,2,4.26
"377",1,21,4,1,2,1,3,3,4.98
"378",1,19,4,2,1,2,2,2,4.8
"379",2,42,4,1,2,1,2,3,2.04
"380",1,18,3,1,2,3,3,1,3.33
"381",1,45,2,3,2,3,1,1,1.99
"382",2,74,3,1,2,2,3,1,5.08
"383",1,55,1,1,1,4,2,1,2.02
"384",2,26,4,2,2,4,3,2,3.5
"385",2,52,3,4,2,2,3,3,3.91
"386",1,32,7,1,2,3,1,1,4.27
"387",1,36,4,1,2,3,3,2,3.19
"388",2,46,8,2,2,2,1,1,2.34
"389",1,41,6,2,2,1,3,1,2.56
"390",1,40,8,3,1,3,3,2,0.59
"391",2,35,3,3,1,1,3,2,2.69
"392",1,40,6,1,2,1,2,2,3.82
"393",1,21,6,2,2,3,3,2,3.68
"394",1,58,4,2,1,2,3,1,1.28
"395",1,26,3,4,1,2,2,2,3.5
"396",1,38,6,1,2,3,2,2,5.45
"397",2,38,1,2,2,2,3,2,3.19
"398",1,29,8,2,1,2,2,2,2.4
"399",1,41,4,1,2,1,2,2,4.04
"400",1,47,10,3,1,4,1,1,3.26
"401",1,33,2,3,2,2,3,2,0.08
"402",1,62,5,1,1,2,2,1,3.33
"403",1,50,9,2,2,4,1,1,3.12
"404",1,41,4,1,2,1,3,1,0.47
"405",2,40,5,3,2,2,2,3,0.87
"406",1,58,5,1,2,1,3,1,0.84
"407",1,60,4,3,2,1,3,3,3.8
"408",1,41,3,1,2,3,2,2,3.73
"409",1,41,4,2,2,2,3,1,4.08
"410",1,43,10,3,2,2,2,2,3.87
"411",2,18,6,2,2,1,2,2,4.51
"412",1,56,9,3,1,2,2,3,3.96
"413",1,78,7,1,1,2,3,1,1.74
"414",2,37,5,1,2,3,1,2,2.76
"415",2,39,10,1,2,3,3,1,1.54
"416",2,22,3,3,1,1,2,3,4.8
"417",1,67,4,1,2,2,3,1,2.73
"418",1,60,3,1,2,3,3,3,4.18
"419",1,27,3,2,1,2,3,2,2.97
"420",2,43,7,3,2,3,1,3,2.83
"421",2,48,8,1,1,1,2,2,0.96
"422",1,58,6,2,2,3,1,1,3.87
"423",1,18,6,2,2,4,3,1,4.29
"424",1,49,2,4,1,4,3,1,4.02
"425",1,41,4,1,2,1,3,2,5.79
"426",1,67,3,4,2,1,2,2,3.21
"427",2,33,5,1,1,4,3,2,5.33
"428",2,81,7,4,2,3,3,3,5.99
"429",1,46,5,2,1,2,3,2,3.13
"430",1,39,8,1,2,3,2,3,2.56
"431",1,18,4,3,2,3,2,2,4.02
"432",2,59,7,2,2,2,1,2,1.34
"433",1,45,4,1,2,3,3,2,2.48
"434",1,54,6,2,1,3,3,1,1.17
"435",1,40,7,1,2,2,2,2,2.52
"436",1,46,6,2,1,3,3,1,0.95
"437",1,32,6,2,1,2,3,2,1.87
"438",1,37,3,2,1,1,1,1,4.02
"439",1,63,1,1,2,3,3,1,3.35
"440",2,40,2,4,1,1,3,1,3.74
"441",2,42,3,3,1,1,2,2,1.01
"442",2,63,3,1,2,3,3,3,2.79
"443",2,48,11,4,2,1,3,2,3.66
"444",2,43,4,2,1,2,3,3,2.72
"445",1,54,8,1,2,2,3,3,3.54
"446",2,72,5,3,2,1,2,3,4.34
"447",1,65,6,3,2,3,3,3,4.99
"448",1,54,7,2,2,1,3,2,0.08
"449",2,38,3,1,2,2,3,3,2.72
"450",1,32,4,2,2,2,3,1,4.33
"451",2,47,11,1,1,3,3,2,4.53
"452",1,69,1,1,2,3,3,1,1.64
"453",2,50,4,2,1,1,3,1,3.66
"454",1,61,8,1,1,3,3,1,1.88
"455",1,41,7,4,2,2,3,1,1.45
"456",1,39,6,4,2,2,3,2,1.96
"457",1,64,8,1,1,2,3,3,4.76
"458",1,33,5,1,1,3,2,1,4.56
"459",1,32,6,1,2,3,1,2,0.79
"460",1,41,3,1,2,3,3,1,4.97
"461",2,28,2,3,2,3,3,2,4.3
"462",1,51,9,3,1,2,2,2,2.1
"463",1,68,10,1,2,3,2,1,2.97
"464",1,40,3,3,2,2,3,2,3.07
"465",1,54,6,3,2,1,3,3,4
"466",1,31,3,1,2,2,3,1,3.82
"467",2,28,7,1,1,4,3,3,4.18
"468",2,20,4,3,2,3,3,2,3.99
"469",1,30,5,3,1,1,2,2,2.29
"470",2,18,8,2,2,1,1,2,2.34
"471",1,47,5,2,2,2,2,3,4.33
"472",1,33,1,2,2,2,3,1,0.94
"473",2,57,0,4,2,2,3,2,5.76
"474",1,18,6,3,1,3,3,2,4.63
"475",2,43,3,2,2,3,2,2,1.17
"476",1,45,5,1,1,2,3,1,2.63
"477",1,65,9,4,1,3,3,1,4.65
"478",2,51,5,2,1,3,3,1,3.59
"479",2,47,10,4,1,3,3,3,5.07
"480",1,50,2,2,2,2,3,3,1.62
"481",1,44,3,2,2,3,3,3,3.12
"482",1,18,2,3,1,2,3,2,2.94
"483",1,82,7,2,1,3,3,1,1.98
"484",2,52,6,1,2,1,3,1,4.4
"485",1,18,5,2,2,2,3,1,3.99
"486",1,56,9,3,2,3,2,3,2.37
"487",2,62,5,1,2,2,3,2,3.94
"488",1,52,4,2,1,2,3,2,1.31
"489",1,49,7,2,2,2,2,1,3.6
"490",1,39,6,4,2,1,1,2,2.45
"491",2,22,8,1,1,2,3,2,2.25
"492",1,66,2,1,2,3,3,2,1.69
"493",1,49,5,3,2,3,1,2,3.86
"494",1,37,8,4,1,2,3,3,4.3
"495",2,56,8,2,2,2,3,1,5.21
"496",1,19,2,3,2,4,2,1,2.89
"497",1,64,8,1,2,3,3,2,2.26
"498",1,29,6,1,2,3,2,3,3.59
"499",1,80,5,4,1,3,3,2,4.42
"500",2,36,3,2,2,2,3,2,4.79
"501",1,25,5,3,1,3,3,1,3.51
"502",1,19,4,2,2,4,1,2,5.41
"503",2,60,9,1,1,2,3,2,3.99
"504",1,82,2,2,1,2,3,2,2.25
"505",1,56,4,3,2,2,2,2,1.38
"506",1,39,11,1,2,2,2,2,1.11
"507",1,30,0,2,2,2,1,3,1.43
"508",1,42,8,2,2,1,3,2,1.62
"509",1,33,5,1,1,2,3,3,3.87
"510",1,36,7,2,1,1,2,1,1.38
"511",1,30,2,3,2,3,3,2,0.08
"512",2,47,11,1,2,3,2,1,1.35
"513",1,18,3,3,2,2,3,2,4.14
"514",2,56,5,3,2,2,1,1,3.34
"515",1,22,3,1,1,3,3,2,3.46
"516",1,55,5,2,2,1,2,2,4.01
"517",2,26,6,2,1,2,3,2,2.51
"518",2,58,4,1,1,2,3,2,2.41
"519",1,43,9,1,2,2,1,2,6.71
"520",1,36,4,3,2,3,3,1,4.29
"521",2,39,4,1,1,3,1,1,6.27
"522",1,37,6,4,2,3,2,1,1.84
"523",1,18,5,3,2,2,1,2,0.52
"524",1,44,3,1,2,3,3,1,1.68
"525",1,64,5,1,1,2,3,1,5.72
"526",1,71,3,2,2,3,3,2,0.7
"527",1,36,7,4,1,2,2,1,0.92
"528",1,79,7,4,2,2,3,2,1.86
"529",2,43,8,1,2,2,3,2,3.5
"530",1,30,7,2,2,1,1,3,1.06
"531",2,39,3,2,2,3,3,2,4.13
"532",1,42,4,3,2,1,1,2,4.01
"533",1,48,6,1,2,2,3,2,4.87
"534",1,25,3,2,1,3,3,2,2.2
"535",2,34,9,1,2,2,3,2,3.17
"536",2,32,4,1,2,3,3,1,2.55
"537",1,74,9,1,1,2,3,3,1.38
"538",2,23,7,3,2,3,1,2,3.06
"539",1,44,5,2,1,1,3,2,5.81
"540",2,48,8,3,2,2,1,2,0.96
"541",1,23,6,4,2,3,2,2,4.58
"542",1,19,6,3,2,2,3,3,4.95
"543",1,37,2,3,2,1,1,3,3.26
"544",2,18,8,2,2,1,3,1,3.96
"545",1,52,3,2,1,2,3,2,2.68
"546",1,30,6,3,2,2,1,1,0.56
"547",1,59,3,1,2,3,3,1,3.41
"548",1,35,6,1,1,2,1,2,3.14
"549",2,65,0,3,2,3,3,2,1.89
"550",1,54,7,2,2,2,3,2,2.93
"551",2,51,2,2,1,4,2,2,3.8
"552",1,18,3,4,2,2,3,2,3.84
"553",1,37,8,2,2,3,3,2,3.67
"554",1,43,3,3,1,2,3,2,4
"555",1,43,4,1,2,3,3,1,3.47
"556",1,49,4,3,2,2,2,2,3.83
"557",2,36,8,1,1,3,3,1,0.08
"558",1,38,5,2,1,3,3,2,1.54
"559",1,18,6,4,1,3,1,3,4.51
"560",2,27,1,2,1,3,3,2,2.84
"561",1,39,7,2,2,2,3,2,4.27
"562",1,64,1,2,1,2,3,2,3.07
"563",2,27,5,3,2,2,2,1,2.87
"564",2,64,1,2,1,2,2,2,3.52
"565",2,50,2,1,2,2,3,2,3.15
"566",1,56,1,1,2,2,2,2,1.75
"567",2,63,7,3,2,1,2,3,6.51
"568",1,39,5,1,2,1,3,2,4.18
"569",2,60,4,2,2,2,1,3,2.21
"570",1,18,1,1,2,2,3,1,4.53
"571",1,81,2,3,1,2,3,2,0.08
"572",2,30,5,3,2,2,1,3,4.41
"573",2,64,5,1,2,2,3,3,2.07
"574",2,48,7,3,2,2,3,2,0.52
"575",2,32,5,1,1,2,3,3,3.96
"576",2,37,7,2,1,2,3,2,5.45
"577",2,31,7,1,2,2,2,2,2.64
"578",1,22,5,2,1,2,3,2,1.61
"579",1,65,6,2,2,2,3,3,2.28
"580",1,73,9,2,2,1,2,2,2.88
"581",1,36,6,4,2,2,2,2,4.13
"582",2,56,0,2,2,2,1,1,3.61
"583",1,55,0,3,2,3,3,2,3.54
"584",1,25,9,1,1,3,3,1,3.2
"585",1,53,7,1,2,2,3,2,1.07
"586",1,74,5,4,2,3,3,1,4.87
"587",1,37,4,2,2,3,2,2,3.38
"588",1,32,8,1,2,1,1,1,3.17
"589",1,58,6,3,2,3,3,1,3.36
"590",2,82,3,2,1,2,3,1,2.03
"591",1,52,2,1,2,2,3,2,1.47
"592",1,22,4,1,2,2,3,1,2.17
"593",1,30,1,3,2,3,3,2,4.45
"594",1,30,7,3,1,2,1,2,4.04
"595",1,21,6,1,1,3,2,2,4.28
"596",1,24,0,1,2,1,3,2,4.76
"597",1,37,5,3,2,2,3,2,3.29
"598",2,24,8,2,1,2,3,2,2.72
"599",1,36,3,1,2,1,3,2,2.46
"600",1,41,8,4,1,2,3,2,2.44
"601",1,56,0,1,2,2,1,3,3.03
"602",2,23,6,1,2,2,2,2,1.02
"603",2,38,11,4,2,2,3,2,3.18
"604",1,35,3,2,2,4,3,2,2.61
"605",1,30,6,1,2,2,3,2,4.36
