"","Gender","DriverAge","CarAge","Area","Leasing","Power","Fract","Contract","Exposure","Predicted"
"52","F",55,3,"Urban","No","Normal","Yearly","Intermediate",2.89,0.0167183188938152
"53","M",54,3,"Urban","Yes","High","Monthly","Intermediate",0.16,0.0705092990829113
"54","F",39,9,"Suburban","Yes","High","Monthly","Basic",3.68,0.0419007053551874
"55","F",28,3,"Suburban","No","Intermediate","Monthly","Full",2.73,0.029006827394841
"56","M",37,5,"Suburban","No","Low","Yearly","Full",0.88,0.0218236815311056
"57","M",31,9,"Urban","Yes","Low","Monthly","Full",1.06,0.0552686641669619
"58","F",18,3,"Countryside low","No","Intermediate","Yearly","Basic",4.42,0.0152430196876508
"59","M",34,4,"Urban","Yes","Normal","Yearly","Full",0.51,0.0403951918224067
"60","M",30,6,"Suburban","Yes","Normal","Quarterly","Intermediate",3.57,0.0308798507995884
"61","M",52,8,"Countryside low","No","Intermediate","Yearly","Intermediate",1.07,0.0141850328990873
"62","M",49,3,"Countryside low","No","Normal","Yearly","Intermediate",0.89,0.0150199595038011
"63","F",42,2,"Countryside low","Yes","Normal","Yearly","Basic",3.71,0.015075722234408
"64","M",46,4,"Urban","Yes","Low","Yearly","Intermediate",3.57,0.0267484237826438
"65","M",39,2,"Countryside low","No","Normal","Yearly","Intermediate",3.44,0.0165983290405447
"66","M",26,3,"Coutryside high","No","Low","Yearly","Intermediate",3.5,0.0221351194787406
"67","F",47,6,"Suburban","No","Normal","Yearly","Basic",1.82,0.0138233236677891
"68","M",27,1,"Countryside low","Yes","Intermediate","Monthly","Intermediate",1.25,0.10731368182884
"69","M",65,5,"Urban","No","Normal","Yearly","Basic",0.89,0.0181301368411482
"70","M",40,8,"Coutryside high","No","Normal","Yearly","Intermediate",3.79,0.0199262724816351
"71","M",30,3,"Suburban","No","Normal","Monthly","Intermediate",3.84,0.0361917195669534
"72","M",47,6,"Coutryside high","Yes","Low","Yearly","Intermediate",3.05,0.0219426304875271
"73","M",30,6,"Urban","Yes","Low","Quarterly","Intermediate",1.19,0.0264248809358807
"74","F",42,4,"Suburban","No","Low","Yearly","Intermediate",2.35,0.0139121311358815
"75","F",54,2,"Countryside low","Yes","High","Monthly","Intermediate",1.22,0.0292115028334363
"76","F",40,4,"Countryside low","No","Intermediate","Yearly","Basic",4.83,0.0128914299361486
"77","M",34,9,"Coutryside high","No","Low","Quarterly","Basic",0.28,0.0165128294405503
"78","M",31,10,"Countryside low","No","Normal","Yearly","Intermediate",2.99,0.0152707412511719
"79","M",35,2,"Urban","No","Intermediate","Yearly","Basic",5.11,0.0277811884794426
"80","F",40,6,"Urban","No","Normal","Monthly","Full",2.11,0.0297116511344487
"81","M",53,4,"Urban","Yes","Intermediate","Quarterly","Basic",2.16,0.0281868253838199
"82","M",38,2,"Urban","No","Normal","Quarterly","Basic",3.3,0.0312428409141352
"83","F",25,4,"Suburban","No","Low","Yearly","Intermediate",3.04,0.0158148194109571
"84","M",41,4,"Suburban","No","Intermediate","Monthly","Basic",1.44,0.0272707638558573
"85","F",58,5,"Coutryside high","No","Low","Yearly","Basic",4.32,0.0123899405212406
"86","M",44,3,"Countryside low","No","Intermediate","Quarterly","Intermediate",1.19,0.0157930440153877
"87","M",61,3,"Suburban","Yes","High","Monthly","Intermediate",5.05,0.0529363538665835
"88","M",82,6,"Suburban","No","Low","Yearly","Full",2.47,0.0143844937380331
"89","M",73,5,"Coutryside high","No","Intermediate","Yearly","Full",1.95,0.0199259007121773
"90","M",48,6,"Countryside low","No","Intermediate","Yearly","Intermediate",4.13,0.0151139883300867
"91","F",42,3,"Countryside low","No","Intermediate","Yearly","Full",2.34,0.015440396417859
"92","F",71,3,"Countryside low","No","Intermediate","Yearly","Full",2.94,0.0126597809710279
"93","F",40,9,"Countryside low","No","Intermediate","Yearly","Intermediate",0.42,0.0125043480163133
"94","M",53,6,"Countryside low","No","High","Monthly","Intermediate",0.37,0.029315826731602
"95","M",41,5,"Suburban","No","Intermediate","Quarterly","Full",2.91,0.0260916015924
"96","F",47,5,"Countryside low","Yes","Normal","Monthly","Intermediate",0.11,0.0153313664366313
"97","M",37,5,"Urban","No","Low","Yearly","Intermediate",3.43,0.0218482997950795
"98","F",46,3,"Countryside low","Yes","Intermediate","Yearly","Full",4.67,0.0188610653109536
"99","M",48,9,"Countryside low","Yes","Normal","Yearly","Basic",3.24,0.0160489761047902
"100","M",24,0,"Urban","No","Intermediate","Yearly","Intermediate",4.44,0.0340614666976455
"101","M",56,8,"Urban","Yes","Normal","Yearly","Basic",3.58,0.0240825964764557
"102","F",49,5,"Suburban","Yes","Normal","Yearly","Intermediate",1.42,0.0180630980816878
"103","F",18,3,"Countryside low","No","Intermediate","Quarterly","Intermediate",3.91,0.0162713471848797
"104","F",26,4,"Countryside low","No","Intermediate","Yearly","Intermediate",1.46,0.014756242876366
"105","M",42,6,"Suburban","No","Normal","Yearly","Intermediate",3.53,0.0193717516846418
"106","F",62,3,"Urban","Yes","Normal","Yearly","Intermediate",1.98,0.0200840273314281
"107","M",18,6,"Suburban","No","Low","Yearly","Basic",1.82,0.0199987441880509
"108","M",30,3,"Countryside low","No","Normal","Yearly","Basic",3.71,0.0166972519586982
"109","F",21,6,"Countryside low","Yes","Low","Yearly","Basic",0.08,0.0147671271497617
"110","M",40,5,"Urban","No","Normal","Yearly","Intermediate",4.62,0.0245517666609119
"111","M",42,4,"Suburban","No","Low","Yearly","Intermediate",4.58,0.0176368176632835
"112","M",74,3,"Suburban","No","Normal","Yearly","Intermediate",0.78,0.0155080928173641
"113","M",35,8,"Suburban","No","Intermediate","Yearly","Basic",4.21,0.0199439461003596
"114","M",59,6,"Countryside low","No","Low","Monthly","Intermediate",4.47,0.0126323240658546
"115","M",25,4,"Suburban","No","High","Monthly","Intermediate",6.97,0.0380947450409427
"116","M",67,2,"Coutryside high","No","Intermediate","Monthly","Intermediate",5.52,0.0246980865308707
"117","F",20,6,"Countryside low","Yes","Normal","Quarterly","Intermediate",3.34,0.016651509468212
"118","F",48,2,"Urban","No","Low","Yearly","Intermediate",4.92,0.0159761610582975
"119","M",47,5,"Suburban","Yes","Intermediate","Yearly","Intermediate",3.73,0.0262940647655565
"120","M",73,2,"Suburban","No","Intermediate","Yearly","Intermediate",0.08,0.0168413040699188
"121","F",61,6,"Countryside low","No","Normal","Quarterly","Full",4.39,0.0126623748405181
"122","M",27,3,"Urban","No","Intermediate","Yearly","Basic",3.52,0.0293843239334767
"123","F",53,8,"Urban","Yes","Normal","Monthly","Intermediate",2.19,0.0265541080383528
"124","F",40,2,"Urban","Yes","High","Yearly","Basic",2.46,0.0294962059292808
"125","M",22,1,"Coutryside high","No","Normal","Yearly","Full",6.53,0.0336034923145968
"126","F",46,4,"Urban","No","Normal","Yearly","Full",4.43,0.0213821787184114
"127","M",42,8,"Coutryside high","No","Intermediate","Yearly","Intermediate",2.66,0.0208411475805655
"128","F",38,9,"Countryside low","No","Normal","Yearly","Full",4.53,0.0137071650572908
"129","M",36,7,"Countryside low","Yes","Intermediate","Yearly","Intermediate",1.88,0.0209729989682339
"130","M",52,3,"Coutryside high","No","Low","Monthly","Intermediate",3.22,0.0189446266504719
"131","M",42,3,"Coutryside high","No","Normal","Yearly","Full",3.38,0.026574650000631
"132","F",58,8,"Countryside low","No","Intermediate","Quarterly","Basic",1.73,0.0121125020561511
"133","F",39,4,"Coutryside high","No","Intermediate","Quarterly","Intermediate",1.53,0.0224544742468471
"134","F",36,0,"Countryside low","No","Low","Yearly","Basic",5.38,0.0123091910819707
"135","M",45,6,"Countryside low","No","Intermediate","Yearly","Basic",1.59,0.0147666741153608
"136","M",32,8,"Suburban","No","Intermediate","Yearly","Intermediate",0.87,0.021793761253675
"137","F",33,12,"Urban","Yes","Intermediate","Monthly","Basic",3.35,0.0321195404089878
"138","M",49,8,"Urban","No","Intermediate","Yearly","Intermediate",2.45,0.0223880447887375
"139","F",46,7,"Countryside low","Yes","Intermediate","Yearly","Intermediate",3.48,0.014769908328312
"140","M",40,5,"Countryside low","No","Normal","Monthly","Basic",1.68,0.0162917038463193
"141","M",27,4,"Urban","No","Low","Yearly","Intermediate",2.56,0.0247067972037422
"142","M",32,4,"Coutryside high","Yes","Low","Yearly","Basic",2.72,0.0251221274585611
"143","F",58,7,"Coutryside high","No","Low","Yearly","Basic",2.65,0.0120976956958095
"144","M",24,9,"Suburban","No","Intermediate","Yearly","Intermediate",0.99,0.0230780655446755
"145","F",43,4,"Urban","Yes","Intermediate","Yearly","Intermediate",2.54,0.0253366019348707
"146","F",45,0,"Urban","Yes","Low","Quarterly","Intermediate",2.35,0.0202567202128693
"147","M",39,1,"Suburban","Yes","Intermediate","Yearly","Full",2.67,0.0369700267763641
"148","F",51,5,"Countryside low","No","Normal","Monthly","Basic",0.77,0.0140849159164627
"149","M",38,8,"Suburban","No","Intermediate","Monthly","Full",3.29,0.0288475023850406
"150","F",30,8,"Countryside low","Yes","Intermediate","Yearly","Basic",5.55,0.01568538457777
"151","M",57,3,"Suburban","No","Normal","Yearly","Full",2.91,0.0216457997012452
"152","F",51,3,"Suburban","No","Intermediate","Yearly","Intermediate",1.95,0.0155005615401227
"153","M",52,5,"Countryside low","No","Normal","Yearly","Intermediate",3.6,0.0142044538771902
"154","M",34,9,"Urban","Yes","Normal","Yearly","Basic",1.26,0.0293023487152859
"155","M",57,6,"Countryside low","Yes","Intermediate","Monthly","Intermediate",0.08,0.0166194854527895
"156","M",22,10,"Suburban","No","Normal","Yearly","Basic",2.57,0.0203060336405726
"157","F",55,7,"Urban","No","High","Monthly","Intermediate",2.25,0.0461310497861458
"158","M",42,11,"Urban","No","Normal","Yearly","Basic",4.68,0.0198076699757466
"159","M",53,0,"Countryside low","Yes","Low","Yearly","Intermediate",3.28,0.0170087795587808
"160","M",61,2,"Urban","Yes","Low","Quarterly","Intermediate",2.27,0.0358868538096069
"161","M",57,5,"Countryside low","Yes","Intermediate","Yearly","Intermediate",2.89,0.0179323844684041
"162","M",46,6,"Countryside low","No","Normal","Yearly","Intermediate",4.68,0.0145948101431555
"163","F",34,2,"Urban","No","High","Yearly","Intermediate",2.85,0.0254590347164145
"164","M",41,4,"Urban","No","Normal","Quarterly","Intermediate",0.55,0.0321411270647063
"165","M",31,5,"Countryside low","No","Low","Monthly","Full",5.04,0.0155818096827972
"166","M",49,7,"Countryside low","Yes","High","Quarterly","Basic",2.75,0.0298721981143845
"167","F",36,3,"Suburban","Yes","Normal","Monthly","Intermediate",4.41,0.0292592831641675
"168","M",19,1,"Coutryside high","No","Intermediate","Yearly","Full",6.23,0.0365274268933159
"169","F",63,1,"Suburban","Yes","High","Yearly","Basic",3.75,0.0197518999374071
"170","M",29,6,"Countryside low","Yes","Intermediate","Yearly","Intermediate",2.51,0.0229977392806739
"171","M",35,5,"Coutryside high","No","Intermediate","Monthly","Full",5.3,0.0329466549296871
"172","M",37,4,"Urban","Yes","Normal","Quarterly","Intermediate",1.86,0.0370482349180395
"173","F",82,3,"Suburban","No","Intermediate","Yearly","Intermediate",0.45,0.0125517620510814
"174","M",22,5,"Urban","No","Intermediate","Quarterly","Intermediate",1.16,0.0380173701425289
"175","M",25,5,"Suburban","No","Normal","Yearly","Intermediate",3.6,0.0234186465247089
"176","F",46,6,"Countryside low","No","Normal","Yearly","Basic",0.62,0.0117680850793516
"177","M",38,4,"Urban","No","Normal","Yearly","Intermediate",3.47,0.0256270193983654
"178","M",37,9,"Suburban","Yes","Normal","Yearly","Intermediate",1.4,0.0248386370528992
"179","M",34,9,"Countryside low","No","Intermediate","Monthly","Basic",7.28,0.015852433398324
"180","M",40,0,"Suburban","No","Intermediate","Quarterly","Intermediate",3.46,0.0285658494455558
"181","F",36,6,"Coutryside high","No","Normal","Yearly","Basic",4.69,0.0156284812868596
"182","M",18,6,"Suburban","No","High","Quarterly","Basic",1.08,0.0301716853864475
"183","M",63,2,"Suburban","Yes","Normal","Quarterly","Basic",1.52,0.0218545957595259
"184","M",52,8,"Urban","Yes","High","Yearly","Basic",1.35,0.030669382359261
"185","M",50,6,"Coutryside high","No","Normal","Yearly","Intermediate",2.23,0.0189139350121774
"186","M",60,1,"Urban","Yes","Intermediate","Quarterly","Intermediate",0.76,0.0308573605828325
"187","M",43,0,"Coutryside high","Yes","Intermediate","Monthly","Intermediate",3.73,0.0367478494681142
"188","M",32,3,"Urban","No","Intermediate","Yearly","Intermediate",3.49,0.0296817665760233
"189","M",18,10,"Coutryside high","Yes","Intermediate","Yearly","Intermediate",3.23,0.0328636291884968
"190","M",31,6,"Suburban","No","High","Quarterly","Basic",4.66,0.0262110967750536
"191","F",40,6,"Countryside low","No","Intermediate","Monthly","Intermediate",4.63,0.0150449100214596
"192","M",48,6,"Suburban","Yes","High","Yearly","Basic",4.17,0.0275149572603259
"193","M",47,4,"Urban","No","Normal","Quarterly","Intermediate",3.91,0.0301287348078995
"194","M",52,6,"Countryside low","Yes","Normal","Quarterly","Intermediate",3.57,0.0156690033707985
"195","M",53,8,"Urban","Yes","Intermediate","Yearly","Full",3.67,0.0338718036631209
"196","F",40,7,"Urban","Yes","Intermediate","Yearly","Intermediate",4.04,0.024386793239175
"197","M",62,6,"Coutryside high","No","Normal","Yearly","Intermediate",2.57,0.0169587163939663
"198","M",47,4,"Suburban","No","Intermediate","Yearly","Basic",1.96,0.0193906499520282
"199","F",61,6,"Countryside low","No","Normal","Yearly","Basic",1.52,0.0110496250691216
"200","M",32,9,"Coutryside high","No","Intermediate","Yearly","Basic",1.45,0.0211908941477077
"201","M",37,4,"Suburban","No","Normal","Quarterly","Basic",3.59,0.0249929307620289
"202","M",18,1,"Countryside low","No","Normal","Monthly","Basic",1.93,0.0207901264841364
"203","F",53,7,"Urban","No","Low","Quarterly","Full",1.81,0.0160227817602641
"204","F",38,2,"Suburban","No","High","Yearly","Basic",4.66,0.0189784596186919
"205","F",58,5,"Urban","No","Low","Yearly","Intermediate",1.91,0.0140512213436462
"206","F",37,8,"Urban","Yes","High","Quarterly","Basic",4.68,0.0466298737380973
"207","F",60,4,"Suburban","Yes","Low","Yearly","Intermediate",2.79,0.0148398602627617
"208","M",46,3,"Urban","No","High","Yearly","Basic",1.22,0.0279470361211292
"209","M",25,8,"Suburban","No","Normal","Yearly","Basic",4.21,0.0206122731452198
"210","M",47,5,"Urban","Yes","Normal","Yearly","Intermediate",1.62,0.0299058855934427
"211","F",56,1,"Urban","No","Intermediate","Yearly","Intermediate",2.7,0.0183063260499632
"212","M",44,1,"Suburban","No","Normal","Monthly","Intermediate",0.36,0.0326168040247037
"213","M",30,5,"Urban","No","Intermediate","Quarterly","Basic",2.9,0.0311495992683572
"214","M",39,4,"Suburban","Yes","Intermediate","Yearly","Basic",0.96,0.0274235408172726
"215","M",34,5,"Suburban","Yes","Normal","Quarterly","Intermediate",3.04,0.0302719354256377
"216","F",54,11,"Coutryside high","No","High","Monthly","Intermediate",5.04,0.0372459286705016
"217","F",41,6,"Coutryside high","No","Intermediate","Monthly","Basic",4.57,0.0225676328766784
"218","F",31,10,"Coutryside high","No","Intermediate","Yearly","Intermediate",3.86,0.0167928160128042
"219","M",55,0,"Countryside low","No","Low","Quarterly","Intermediate",3.7,0.0126026311324484
"220","F",63,2,"Coutryside high","No","Low","Monthly","Intermediate",2.39,0.0157671687263565
"221","M",31,8,"Countryside low","Yes","Intermediate","Quarterly","Full",2.83,0.0209751896793455
"222","M",39,5,"Countryside low","No","Normal","Yearly","Intermediate",2.08,0.0156827647779818
"223","F",50,2,"Countryside low","No","Low","Yearly","Intermediate",1.48,0.0115794879924201
"224","M",40,10,"Countryside low","No","Low","Yearly","Basic",3.06,0.012512039229898
"225","M",56,0,"Suburban","No","Low","Monthly","Basic",2.67,0.0176778004640091
"226","M",20,6,"Suburban","No","Low","Quarterly","Basic",1.68,0.0190668564980302
"227","M",43,3,"Countryside low","No","Normal","Yearly","Intermediate",3.3,0.0157509918167641
"228","F",26,8,"Urban","No","Normal","Yearly","Intermediate",3.62,0.0196508763544054
"229","M",31,2,"Coutryside high","No","Normal","Monthly","Full",3.73,0.0374783392551589
"230","F",37,2,"Countryside low","Yes","Intermediate","Yearly","Basic",3.29,0.0165730892487107
"231","M",29,8,"Urban","No","Normal","Quarterly","Intermediate",1.49,0.0333039594480126
"232","M",35,7,"Suburban","No","Normal","Yearly","Basic",3.92,0.0191322699237113
"233","F",18,12,"Countryside low","No","Intermediate","Yearly","Basic",4.54,0.0131992202986303
"234","F",41,6,"Countryside low","No","Intermediate","Yearly","Intermediate",3.48,0.0129305836857868
"235","M",48,7,"Countryside low","No","Normal","Yearly","Full",5.03,0.0164923024540639
"236","M",33,6,"Urban","Yes","Intermediate","Yearly","Intermediate",1.31,0.035375284132868
"237","F",29,6,"Suburban","No","Normal","Yearly","Intermediate",2.43,0.0166461633411062
"238","F",53,7,"Urban","No","Normal","Monthly","Intermediate",4,0.0270675849987327
"239","F",18,4,"Countryside low","Yes","Intermediate","Yearly","Intermediate",3.59,0.0200001326265299
"240","M",46,3,"Urban","Yes","Intermediate","Quarterly","Intermediate",1.27,0.0343231467285031
"241","M",54,7,"Urban","Yes","Low","Yearly","Intermediate",0.73,0.0230570201467788
"242","M",50,3,"Countryside low","No","Intermediate","Yearly","Basic",2.91,0.014970171939904
"243","M",54,8,"Countryside low","Yes","Normal","Monthly","Intermediate",1.89,0.0162185265192716
"244","M",26,7,"Urban","Yes","Normal","Yearly","Basic",1.75,0.0329762181603456
"245","M",29,6,"Urban","No","Intermediate","Yearly","Intermediate",3.83,0.0286050312012329
"246","M",75,5,"Suburban","No","Normal","Yearly","Intermediate",2.3,0.0148532858986988
"247","F",46,6,"Suburban","Yes","Normal","Quarterly","Basic",3.19,0.0197256664627127
"248","F",46,4,"Urban","No","High","Yearly","Basic",1.63,0.0203285214360198
"249","M",52,2,"Urban","No","Intermediate","Yearly","Intermediate",3.41,0.0249025678872564
"250","M",22,3,"Urban","No","Low","Monthly","Basic",0.7,0.0270820769130238
"251","M",18,9,"Countryside low","No","Intermediate","Yearly","Intermediate",2.3,0.0184351436407999
"252","F",18,1,"Urban","No","Intermediate","Monthly","Full",5.34,0.185463149330099
"253","M",46,4,"Countryside low","No","Normal","Yearly","Intermediate",1.39,0.0151052173911678
"254","M",76,6,"Countryside low","Yes","Low","Monthly","Intermediate",3.97,0.0220778313756004
"255","M",68,4,"Countryside low","Yes","Normal","Yearly","Intermediate",4.95,0.0157072104958792
"256","M",42,0,"Suburban","Yes","Intermediate","Yearly","Basic",4.29,0.0291079174573054
"257","M",49,1,"Urban","No","Intermediate","Yearly","Intermediate",2,0.0262532467830098
"258","F",45,7,"Urban","Yes","Intermediate","Yearly","Basic",3.6,0.0218329103489316
"259","M",35,6,"Suburban","No","Intermediate","Yearly","Intermediate",3.64,0.0221291397905217
"260","F",76,7,"Countryside low","No","High","Yearly","Intermediate",3.18,0.0114676344433608
"261","M",29,3,"Suburban","No","Low","Yearly","Basic",2.58,0.0192100565592916
"262","F",24,0,"Urban","No","Intermediate","Quarterly","Full",0.48,0.0343445813033166
"263","M",63,11,"Urban","Yes","High","Yearly","Basic",3.22,0.0257537937947406
"264","F",42,8,"Countryside low","No","Normal","Monthly","Intermediate",1.69,0.0150603575906245
"265","M",58,5,"Urban","No","Normal","Monthly","Basic",3.42,0.027969371540029
"266","F",45,11,"Suburban","Yes","Intermediate","Monthly","Full",0.94,0.0406006951494996
"267","M",36,7,"Countryside low","No","Intermediate","Yearly","Basic",1,0.0155609309575375
"268","M",50,6,"Suburban","No","Normal","Monthly","Intermediate",2.19,0.0275953455152143
"269","M",44,2,"Suburban","No","Intermediate","Quarterly","Basic",2.08,0.0237659081284138
"270","M",29,5,"Coutryside high","No","Intermediate","Monthly","Intermediate",4.81,0.0342482190578224
"271","F",18,5,"Coutryside high","Yes","Intermediate","Quarterly","Intermediate",2.82,0.0290913800911215
"272","M",37,3,"Coutryside high","No","Intermediate","Yearly","Full",4.07,0.029785685864863
"273","M",54,3,"Urban","Yes","High","Yearly","Intermediate",3.34,0.0352754100502881
"274","M",49,0,"Countryside low","No","Normal","Quarterly","Intermediate",4.8,0.0159935588578282
"275","M",27,3,"Coutryside high","No","Low","Yearly","Basic",3.86,0.0206467910096402
"276","F",52,5,"Coutryside high","Yes","Intermediate","Yearly","Intermediate",2.98,0.0196719449679628
"277","M",44,8,"Urban","No","Normal","Yearly","Intermediate",3.23,0.0220315480843982
"278","M",26,3,"Urban","No","Low","Yearly","Intermediate",5.52,0.025531079137571
"279","M",63,2,"Urban","Yes","Low","Quarterly","Basic",3.39,0.0347192351867267
"280","M",18,0,"Suburban","Yes","Intermediate","Yearly","Intermediate",0.83,0.0380929378512454
"281","F",28,3,"Suburban","No","Normal","Monthly","Intermediate",4.51,0.0310586411690197
"282","M",40,3,"Countryside low","No","Low","Yearly","Basic",4.67,0.0138004300788894
"283","M",64,5,"Countryside low","No","Low","Yearly","Intermediate",2.38,0.0120790056291676
"284","F",50,0,"Suburban","Yes","Normal","Yearly","Intermediate",4.05,0.0199102981960166
"285","M",36,7,"Urban","No","Intermediate","Yearly","Intermediate",0.08,0.0260952528153434
"286","M",18,7,"Suburban","No","Low","Yearly","Intermediate",3.8,0.0207474688683585
"287","F",38,4,"Urban","Yes","Low","Yearly","Full",1.27,0.0261979638555305
"288","F",37,6,"Suburban","No","Normal","Yearly","Intermediate",3.92,0.0155739097906247
"289","M",48,9,"Suburban","Yes","Intermediate","Yearly","Intermediate",3.11,0.0237659368984555
"290","F",46,7,"Suburban","No","Low","Monthly","Full",4.85,0.0169302653116912
"291","M",33,4,"Urban","No","Normal","Quarterly","Intermediate",0.47,0.0351377807494482
"292","F",42,4,"Urban","No","Intermediate","Quarterly","Full",1.63,0.0256051042362255
"293","F",58,1,"Suburban","Yes","Intermediate","Yearly","Basic",3.11,0.01816896976455
"294","F",24,3,"Coutryside high","No","Low","Yearly","Basic",4.25,0.0161721984302216
"295","M",37,5,"Suburban","No","Low","Yearly","Intermediate",0.56,0.0180803310393383
"296","M",35,4,"Coutryside high","No","Normal","Yearly","Full",3.14,0.0278526391110723
"297","F",36,5,"Countryside low","No","Normal","Yearly","Intermediate",5.36,0.0129819380297066
"298","M",26,5,"Countryside low","No","Intermediate","Yearly","Intermediate",0.56,0.018619475671036
"299","F",54,6,"Urban","Yes","Low","Yearly","Basic",1.55,0.0167820528199986
"300","F",41,7,"Urban","No","Normal","Monthly","Basic",2,0.0270890967267649
"301","F",46,9,"Suburban","No","Normal","Yearly","Intermediate",1.85,0.0138459617408292
"302","M",60,6,"Coutryside high","No","Intermediate","Quarterly","Intermediate",1.11,0.0210611616813472
"303","F",43,4,"Countryside low","Yes","Normal","Yearly","Basic",1.66,0.0144609141541217
"304","M",34,3,"Coutryside high","Yes","Low","Yearly","Intermediate",3.72,0.0267598557822349
"305","M",39,5,"Suburban","No","Normal","Yearly","Intermediate",5.03,0.020380891522918
"306","M",48,0,"Suburban","No","Intermediate","Quarterly","Intermediate",3.06,0.0262908257401132
